Team1Goal,Team1Los,Team1Yellow,Team1Red,Team1WinRate,Team1PinRate,Team1LosRate,Team1MatchCount,Team2Goal,Team2Los,Team2Yellows,Team2Reds,Team2WinRate,Team2PinRate,Team2LosRate,Team2MatchCount,3,1,0,AllResult
0.889,1.541,2.087,0.105,0.243,0.224,0.533,77,2.014,1.115,1.713,0.073,0.577,0.218,0.205,112,0,1,0,1
1.305,1.128,1.533,0.089,0.408,0.298,0.295,110,1.077,1.424,1.711,0.085,0.294,0.246,0.46,99,1,0,0,3
1.341,1.114,1.421,0.046,0.446,0.239,0.315,85,1.286,1.227,1.961,0.092,0.366,0.351,0.283,87,0,0,1,0
1.2,1.019,1.034,0.002,0.365,0.292,0.343,52,1.362,1.319,1.339,0.101,0.321,0.338,0.341,95,1,0,0,3
1.445,0.995,1.426,0.06,0.439,0.238,0.323,93,1.25,1.264,1.402,0.082,0.341,0.32,0.339,101,0,1,0,1
0.737,1.684,1.875,0.057,0.247,0.161,0.592,58,2.216,1,1.613,0.063,0.689,0.132,0.179,102,0,0,1,0
1.058,0.998,2.178,0.13,0.424,0.301,0.275,82,0.949,2.884,2.181,0.364,0.075,0.183,0.741,27,1,0,0,3
1.542,1.737,2.088,0.191,0.227,0.346,0.428,24,1.816,0.94,2.131,0.055,0.569,0.211,0.22,84,0,1,0,1
1.63,1.165,2.272,0.057,0.47,0.233,0.297,109,1.571,1.778,2.038,0.202,0.239,0.31,0.451,23,0,1,0,1
1.585,1.209,2.011,0.135,0.489,0.215,0.296,73,1.501,1.331,1.646,0.054,0.417,0.185,0.398,134,1,0,0,3
1.14,1.548,1.6,0,0.316,0.21,0.474,96,2.006,1.13,1.424,0.043,0.593,0.194,0.212,120,0,0,1,0
1.308,1.394,1.822,0.091,0.284,0.315,0.401,89,1.164,1.332,1.775,0.054,0.395,0.196,0.409,77,0,1,0,1
1.508,1.321,1.641,0.054,0.423,0.188,0.389,133,2.345,0.89,1.619,0.063,0.684,0.192,0.123,122,0,0,1,0
1.574,1.168,1.905,0.202,0.453,0.236,0.311,101,1.723,1.132,1.823,0.096,0.518,0.207,0.275,100,0,1,0,1
1.686,1.064,1.463,0.069,0.623,0.103,0.274,96,1.074,1.524,1.653,0.095,0.301,0.258,0.441,85,1,0,0,3
1.818,1.129,1.703,0.112,0.537,0.18,0.283,75,1.379,1.552,1.932,0.124,0.346,0.167,0.487,78,1,0,0,3
1.174,1.122,1.927,0.15,0.304,0.34,0.356,86,1.818,1.234,1.29,0.001,0.472,0.295,0.232,44,0,1,0,1
1.46,1.768,2.228,0.111,0.351,0.217,0.432,63,1.276,1.232,2.154,0.179,0.328,0.356,0.317,70,1,0,0,3
1.277,1.385,1.948,0.09,0.344,0.305,0.351,63,1.443,1.251,2.512,0,0.409,0.313,0.278,23,0,0,1,0
2.178,1.336,1.924,0.108,0.609,0.165,0.226,94,1.582,1.322,2.133,0.135,0.419,0.257,0.324,80,1,0,0,3
1.677,1.403,1.373,0.02,0.376,0.307,0.317,97,1.186,1.101,1.346,0.109,0.39,0.272,0.338,99,1,0,0,3
1.568,1.294,1.777,0.075,0.527,0.19,0.283,90,1.415,1.18,2.007,0.178,0.41,0.272,0.317,80,1,0,0,3
2.22,1.034,1.227,0.034,0.547,0.308,0.145,121,0.98,1.626,1.297,0.001,0.278,0.152,0.57,84,1,0,0,3
1.157,2.166,1.715,0.295,0.181,0.169,0.65,25,1.668,0.856,1.721,0.144,0.542,0.293,0.164,22,0,0,1,0
1.371,1.117,1.408,0.047,0.456,0.244,0.3,84,1.564,1.302,1.577,0.093,0.42,0.297,0.283,102,0,0,1,0
1.292,1.804,1.614,0.104,0.269,0.24,0.491,100,1.384,1.08,1.35,0.02,0.453,0.269,0.279,105,0,1,0,1
1.279,1.29,1.564,0.004,0.362,0.24,0.398,97,1.1,1.432,1.724,0.087,0.3,0.251,0.448,99,0,1,0,1
1.166,1.194,1.622,0.065,0.35,0.23,0.421,85,1.254,1.329,1.622,0.042,0.364,0.256,0.38,102,1,0,0,3
1.321,1.691,1.69,0.082,0.349,0.13,0.522,89,1.304,1.097,1.303,0.105,0.402,0.287,0.311,102,0,0,1,0
1.867,1.182,1.597,0.044,0.586,0.154,0.261,99,1.002,1.696,1.616,0.078,0.188,0.293,0.519,94,1,0,0,3
1.499,1.152,1.456,0.131,0.436,0.284,0.28,106,1.39,1.305,1.346,0.103,0.328,0.345,0.327,94,1,0,0,3
1.29,1.424,0.993,0.002,0.284,0.364,0.352,52,1.422,1.102,1.423,0.045,0.474,0.258,0.267,98,0,0,1,0
1.405,1.132,1.15,0.033,0.476,0.236,0.288,110,1.614,1.367,1.575,0.1,0.429,0.217,0.354,92,0,0,1,0
1.011,1.542,1.708,0.107,0.246,0.233,0.521,103,1.352,1.709,1.531,0.105,0.298,0.149,0.553,87,0,0,1,0
1.173,1.054,1.036,0.002,0.344,0.302,0.354,51,0.93,1.65,1.287,0.113,0.233,0.253,0.515,79,1,0,0,3
1.164,1.442,1.906,0.069,0.273,0.338,0.389,105,0.944,1.408,1.117,0.184,0.276,0.268,0.457,39,0,0,1,0
1.183,1.422,1.693,0.121,0.308,0.285,0.407,95,1.33,1.181,1.12,0.09,0.435,0.273,0.293,102,0,0,1,0
1.251,1.035,1.326,0.128,0.529,0.095,0.376,33,1.016,1.271,1.293,0.076,0.288,0.286,0.426,85,1,0,0,3
1.217,1.342,1.038,0.049,0.305,0.324,0.371,92,1.497,1.636,1.162,0.082,0.379,0.134,0.487,80,0,1,0,1
1.475,1.016,1.414,0.061,0.448,0.222,0.33,92,1.335,0.717,1.318,0.107,0.597,0.217,0.187,38,0,1,0,1
1.238,1.628,1.392,0.053,0.281,0.276,0.443,88,1.267,1.71,1.699,0.093,0.305,0.248,0.447,100,0,1,0,1
2.11,0.973,1.318,0.078,0.672,0.135,0.193,109,1.221,1.005,1.264,0.039,0.452,0.245,0.303,86,1,0,0,3
1.019,1.416,1.548,0.088,0.386,0.226,0.388,88,1.155,1.726,1.289,0.026,0.29,0.234,0.476,86,0,1,0,1
1.813,0.802,1.565,0.073,0.604,0.224,0.171,131,1.018,1.099,1.566,0.026,0.368,0.274,0.358,88,0,1,0,1
1.206,1.795,1.666,0.176,0.297,0.181,0.522,85,1.444,1.475,1.477,0.059,0.366,0.276,0.359,95,1,0,0,3
0.921,1.401,1.574,0.018,0.192,0.317,0.491,92,1.444,1.366,1.496,0.078,0.401,0.241,0.358,108,0,1,0,1
1.22,1.469,1.384,0.053,0.266,0.312,0.422,93,1.293,1.255,1.914,0.095,0.352,0.359,0.289,86,0,1,0,1
0.83,1.434,1.824,0.123,0.221,0.267,0.511,96,1.534,1.382,1.592,0.093,0.39,0.242,0.368,98,0,0,1,0
1.581,1.164,1.573,0.027,0.488,0.237,0.275,99,1.3,1.372,1.635,0.069,0.402,0.227,0.372,108,1,0,0,3
0.94,1.597,1.235,0.043,0.266,0.244,0.491,97,1.526,1.129,1.804,0.091,0.495,0.186,0.319,92,0,0,1,0
1.349,2.018,2.034,0.091,0.196,0.306,0.498,64,1.694,1.716,1.748,0.153,0.373,0.151,0.476,29,1,0,0,3
2.074,1.132,1.707,0.076,0.591,0.205,0.204,76,1.168,1.759,2.013,0.123,0.274,0.198,0.529,60,1,0,0,3
1.223,1.454,1.75,0.127,0.261,0.372,0.367,64,1.037,1.586,2.026,0.205,0.299,0.243,0.458,62,1,0,0,3
1.313,1.149,1.542,0.09,0.398,0.302,0.3,111,1.396,0.961,1.667,0.058,0.512,0.211,0.277,102,0,1,0,1
1.294,1.366,1.598,0.09,0.365,0.232,0.403,101,1.273,1.29,1.352,0.084,0.347,0.307,0.346,102,1,0,0,3
1.115,1.437,1.869,0.136,0.258,0.324,0.417,93,1.641,1.416,1.328,0.006,0.4,0.249,0.351,90,0,1,0,1
2.172,0.983,1.304,0.056,0.611,0.156,0.234,115,1.084,1.305,1.133,0.022,0.311,0.284,0.405,88,1,0,0,3
1.096,1.582,1.737,0.071,0.289,0.182,0.529,82,2.342,0.958,1.188,0.02,0.689,0.169,0.142,122,0,0,1,0
1.275,1.357,2.245,0.144,0.372,0.229,0.399,66,1.103,1.738,1.851,0.218,0.219,0.187,0.594,44,1,0,0,3
2.032,1.057,1.23,0.05,0.57,0.176,0.254,85,0.885,1.78,1.386,0.199,0.235,0.226,0.54,74,1,0,0,3
1.655,1.275,1.261,0.075,0.475,0.243,0.282,79,1.5,1.818,1.295,0.081,0.35,0.209,0.441,77,1,0,0,3
2.347,0.969,1.736,0.06,0.611,0.198,0.191,88,1.289,1.726,1.25,0.022,0.292,0.216,0.492,68,1,0,0,3
1.683,1.698,1.38,0.164,0.3,0.293,0.407,71,1.051,1.896,1.455,0.08,0.221,0.228,0.552,74,1,0,0,3
